technique,technique_label,image,label,confidence_score,best_gt_iou,matched_gt_index,reason,roi_id,seed_roi_id,source_roi_ids,x,y,width,height
nms,NMS,0028_0578333865_02_WRI-R1_M008.png,TP,0.9955300174452476,0.6480845982858866,0,matched_gt_highest_confidence,NMS1,1,"1,5",203.0,359.0,94.0,90.0
nms,NMS,0028_0578333865_02_WRI-R1_M008.png,TP,0.968296609237424,0.5374264568044719,1,matched_gt_highest_confidence,NMS2,4,4,342.0,441.0,69.0,90.0
nms,NMS,0028_0578333865_02_WRI-R1_M008.png,FP,0.22128246324460193,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,3,3,375.0,335.0,53.0,90.0
nms,NMS,0028_0578333865_02_WRI-R1_M008.png,FP,0.01249112535706504,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,2,2,197.0,874.0,74.0,90.0
nms,NMS,0030_0853281744_01_WRI-L2_F008.png,TP,0.9831023872887994,0.6589602102912308,0,matched_gt_highest_confidence,NMS1,1,"1,5",189.0,225.0,91.0,90.0
nms,NMS,0030_0853281744_01_WRI-L2_F008.png,FP,0.1757773104124855,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,4,4,204.0,445.0,53.0,90.0
nms,NMS,0030_0853281744_01_WRI-L2_F008.png,FP,0.02587428172298691,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,3,3,203.0,535.0,53.0,90.0
nms,NMS,0030_0853281744_01_WRI-L2_F008.png,FP,0.007503725090807504,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,2,2,200.0,325.0,64.0,90.0
nms,NMS,0038_0774132724_01_WRI-L2_M014.png,FP,0.6456154648754164,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS1,7,"7,4",195.0,750.0,91.0,90.0
nms,NMS,0038_0774132724_01_WRI-L2_M014.png,FP,0.5,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,3,3,190.0,485.0,82.0,90.0
nms,NMS,0038_0774132724_01_WRI-L2_M014.png,FP,0.44468979393649866,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,2,2,191.0,605.0,82.0,90.0
nms,NMS,0038_0774132724_01_WRI-L2_M014.png,FP,0.4384421971555055,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,8,8,198.0,695.0,83.0,90.0
nms,NMS,0038_0774132724_01_WRI-L2_M014.png,TP,0.43686529722390854,0.5008094747243039,0,matched_gt_highest_confidence,NMS5,6,"6,1,5",166.0,354.0,91.0,90.0
nms,NMS,0063_0566100866_02_WRI-R2_F011.png,TP,0.8190666438057924,0.5080154700911031,0,matched_gt_highest_confidence,NMS1,7,7,249.0,443.0,91.0,90.0
nms,NMS,0063_0566100866_02_WRI-R2_F011.png,FP,0.5954699331317936,0.13027415540520326,0,no_gt_match_or_lower_confidence_on_same_gt,NMS2,3,3,243.0,495.0,95.0,90.0
nms,NMS,0063_0566100866_02_WRI-R2_F011.png,FP,0.16155801646886,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,1,1,250.0,585.0,89.0,90.0
nms,NMS,0063_0566100866_02_WRI-R2_F011.png,FP,0.05654391412247757,0.21301757753594258,0,no_gt_match_or_lower_confidence_on_same_gt,NMS4,2,2,248.0,375.0,112.0,90.0
nms,NMS,0063_0566100866_02_WRI-R2_F011.png,FP,0.04213841130199343,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,5,5,257.0,287.0,88.0,90.0
nms,NMS,0063_0566100866_02_WRI-R2_F011.png,FP,0.04061359578995627,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,4,4,253.0,675.0,89.0,90.0
nms,NMS,0063_0566100866_02_WRI-R2_F011.png,FP,0.0010852949780109787,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS7,6,6,276.0,325.0,91.0,90.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.6042162380443575,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS1,6,6,300.0,741.0,141.0,98.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.5322481038251083,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,12,12,174.0,282.0,91.0,90.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.5059991807111046,0.11355357767948807,0,no_gt_match_or_lower_confidence_on_same_gt,NMS3,13,13,123.0,559.0,91.0,90.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,TP,0.4722750212669511,0.6511411632049715,0,matched_gt_highest_confidence,NMS4,2,2,131.0,497.0,150.0,106.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.2811532312212509,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,10,10,333.0,769.0,91.0,90.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.2696438648399669,0.0806754709806159,0,no_gt_match_or_lower_confidence_on_same_gt,NMS6,5,5,174.0,392.0,167.0,116.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.26684220997802804,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS7,8,8,320.0,325.0,156.0,110.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.04041684104362789,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS8,1,1,124.0,625.0,127.0,90.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.025023171206082516,0.11292485613549702,0,no_gt_match_or_lower_confidence_on_same_gt,NMS9,7,7,160.0,557.0,181.0,126.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.023744012244885312,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS10,11,11,357.0,665.0,91.0,90.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.023424463365573803,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS11,4,4,190.0,297.0,181.0,126.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.004599628041102459,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS12,3,3,116.0,795.0,95.0,90.0
nms,NMS,0066_1261433167_01_WRI-L2_M011.PNG,FP,0.0019480611756555553,0.15151392710341274,0,no_gt_match_or_lower_confidence_on_same_gt,NMS13,9,9,166.0,433.0,91.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,TP,0.5950316728551651,0.5765640178043586,0,matched_gt_highest_confidence,NMS1,5,"5,16",359.0,555.0,123.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.22292393463625157,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,7,7,449.0,305.0,122.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.18093915836776805,0.24902696363446522,0,no_gt_match_or_lower_confidence_on_same_gt,NMS3,1,1,259.0,587.0,181.0,126.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.08662490713964816,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,4,4,233.0,382.0,167.0,116.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.07066143218972357,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,14,14,251.0,333.0,15.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.06224348762936471,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,3,3,259.0,698.0,178.0,124.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.05716755889767946,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS7,10,10,405.0,345.0,91.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.04694536114506403,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS8,15,"15,9",213.0,536.0,91.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.03631136653486397,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS9,17,17,256.0,439.0,91.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.031074339169052192,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS10,12,12,394.0,446.0,91.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.029233279379889895,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS11,2,2,359.0,297.0,181.0,126.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.02084035543548816,0.22358687287871576,0,no_gt_match_or_lower_confidence_on_same_gt,NMS12,13,13,321.0,519.0,91.0,90.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.01852023665184364,0.04219973785847558,0,no_gt_match_or_lower_confidence_on_same_gt,NMS13,8,8,195.0,610.0,165.0,180.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.0077057059833647145,0.12384239728685541,0,no_gt_match_or_lower_confidence_on_same_gt,NMS14,6,6,306.0,459.0,174.0,122.0
nms,NMS,0066_1263156785_04_WRI-L1_M011.png,FP,0.0008453520450291142,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS15,11,11,450.0,253.0,91.0,90.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.9782561475573165,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS1,2,2,250.0,450.0,154.0,108.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,TP,0.49203554416994233,0.5610363415674094,0,matched_gt_highest_confidence,NMS2,13,13,251.0,621.0,91.0,90.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.2486078568832534,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,7,7,360.0,319.0,113.0,90.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.24788923914072897,0.22768948470566092,0,no_gt_match_or_lower_confidence_on_same_gt,NMS4,6,6,247.0,557.0,164.0,114.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.1421042442264333,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,3,3,260.0,301.0,181.0,126.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.14135732515582944,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,11,11,217.0,319.0,91.0,90.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.1020442595712995,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS7,8,8,336.0,269.0,91.0,90.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.08855704574458069,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS8,10,10,235.0,461.0,91.0,90.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.07381619130576789,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS9,9,9,481.0,432.0,9.0,90.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.05889516014246055,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS10,4,4,340.0,500.0,155.0,108.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.05787797489304167,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS11,12,12,110.0,275.0,13.0,90.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.05539107479162001,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS12,1,1,141.0,285.0,170.0,118.0
nms,NMS,0071_0678614107_01_WRI-R1_F009.png,FP,0.004814164098825894,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS13,5,5,420.0,739.0,97.0,90.0
nms,NMS,0074_0778270509_01_WRI-L2_F010.PNG,TP,0.5515414878605961,0.5284652378222069,0,matched_gt_highest_confidence,NMS1,2,2,121.0,383.0,133.0,94.0
nms,NMS,0074_0778270509_01_WRI-L2_F010.PNG,FP,0.10024726104466336,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,4,4,133.0,485.0,118.0,90.0
nms,NMS,0074_0778270509_01_WRI-L2_F010.PNG,FP,0.09238656538535761,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,5,5,123.0,715.0,116.0,90.0
nms,NMS,0074_0778270509_01_WRI-L2_F010.PNG,FP,0.067826393320041,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,3,3,122.0,595.0,120.0,90.0
nms,NMS,0074_0778270509_01_WRI-L2_F010.PNG,FP,0.0020443604634873,0.16167110530188414,0,no_gt_match_or_lower_confidence_on_same_gt,NMS5,6,6,145.0,318.0,91.0,90.0
nms,NMS,0074_0778270509_01_WRI-L2_F010.PNG,FP,0.0010093202189058164,0.2342320729791774,0,no_gt_match_or_lower_confidence_on_same_gt,NMS6,7,7,193.0,334.0,91.0,90.0
nms,NMS,0074_0778270509_01_WRI-L2_F010.PNG,FP,0.0007305100519292013,0.08468967823005467,0,no_gt_match_or_lower_confidence_on_same_gt,NMS7,1,1,122.0,295.0,115.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.9776514997020693,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS1,6,"6,11",349.0,305.0,123.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.9260114584678129,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,12,12,274.0,571.0,91.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.9060696672945785,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,4,4,278.0,555.0,124.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,TP,0.7964480601505926,0.5492002137691029,0,matched_gt_highest_confidence,NMS4,2,2,299.0,675.0,112.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.7230207029196757,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,7,7,286.0,348.0,93.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.180589286483463,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,1,1,286.0,320.0,144.0,100.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.1498519117866027,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS7,8,8,256.0,436.0,91.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.10971388527309467,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS8,9,9,285.0,305.0,91.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.05976603212137381,0.13869528078287222,0,no_gt_match_or_lower_confidence_on_same_gt,NMS9,5,5,307.0,775.0,93.0,90.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.058831198775491894,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS10,3,3,256.0,449.0,146.0,102.0
nms,NMS,0125_0729674162_02_WRI-L2_M013.png,FP,0.012426134141044683,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS11,10,10,313.0,445.0,91.0,90.0
nms,NMS,0126_0816183836_01_WRI-L2_F008.png,TP,0.6125299661213487,0.6724486594275628,0,matched_gt_highest_confidence,NMS1,1,1,184.0,395.0,111.0,90.0
nms,NMS,0126_0816183836_01_WRI-L2_F008.png,FP,0.46511230973512735,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,3,3,213.0,295.0,94.0,90.0
nms,NMS,0126_0816183836_01_WRI-L2_F008.png,FP,0.077718179084462,0.11047406112180144,0,no_gt_match_or_lower_confidence_on_same_gt,NMS3,6,6,201.0,339.0,91.0,90.0
nms,NMS,0126_0816183836_01_WRI-L2_F008.png,FP,0.07078714908149915,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,5,5,223.0,230.0,91.0,90.0
nms,NMS,0126_0816183836_01_WRI-L2_F008.png,FP,0.045435307012791665,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,7,7,336.0,258.0,13.0,90.0
nms,NMS,0126_0816183836_01_WRI-L2_F008.png,FP,0.02686684003919566,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,4,4,188.0,685.0,64.0,90.0
nms,NMS,0126_0816183836_01_WRI-L2_F008.png,FP,0.01828378350781679,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS7,2,2,197.0,515.0,69.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,IGNORE,0.5904036293900911,0.3259515034713181,0,overlap_ge_ignore_iou_with_found_gt,NMS1,12,12,243.0,545.0,115.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.464126156811972,0.1525729032147169,0,no_gt_match_or_lower_confidence_on_same_gt,NMS2,4,4,266.0,516.0,153.0,108.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.3781904158907546,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,5,5,213.0,310.0,172.0,120.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.1596209173429195,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,1,1,314.0,308.0,148.0,104.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,TP,0.09494733133773217,0.5206604258665256,0,matched_gt_highest_confidence,NMS5,6,6,249.0,625.0,105.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.0657039661118603,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,10,10,257.0,378.0,8.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.04777480735447651,0.038339047325087416,0,no_gt_match_or_lower_confidence_on_same_gt,NMS7,9,9,334.0,675.0,15.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.03511672456936513,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS8,3,"3,11",254.0,427.0,151.0,106.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.03299863376951493,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS9,14,14,209.0,271.0,91.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.029298704184210836,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS10,15,15,477.0,545.0,22.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.0229861637369597,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS11,8,8,472.0,515.0,25.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.022701404168945023,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS12,7,7,221.0,775.0,124.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.01200930569842107,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS13,13,13,458.0,704.0,39.0,90.0
nms,NMS,0133_0281744417_01_WRI-R2_M014.png,FP,0.001900578371500718,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS14,2,2,324.0,427.0,151.0,106.0
nms,NMS,0177_0391004130_04_WRI-R2_M007.PNG,TP,0.9321365837823586,0.8506182117468305,0,matched_gt_highest_confidence,NMS1,1,1,171.0,405.0,100.0,90.0
nms,NMS,0177_0391004130_04_WRI-R2_M007.PNG,FP,0.8269534115788973,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,4,4,249.0,138.0,91.0,90.0
nms,NMS,0177_0391004130_04_WRI-R2_M007.PNG,IGNORE,0.5351902132480229,0.49543737670354554,0,overlap_ge_ignore_iou_with_found_gt,NMS3,5,5,173.0,374.0,91.0,90.0
nms,NMS,0177_0391004130_04_WRI-R2_M007.PNG,FP,0.16121501521850973,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,3,3,176.0,185.0,91.0,90.0
nms,NMS,0177_0391004130_04_WRI-R2_M007.PNG,FP,0.007089943179467531,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,2,2,196.0,288.0,85.0,90.0
nms,NMS,0184_0953131511_01_WRI-R2_M017.png,TP,0.9691891806209665,0.7288947620074264,0,matched_gt_highest_confidence,NMS1,2,"2,6",230.0,515.0,115.0,90.0
nms,NMS,0184_0953131511_01_WRI-R2_M017.png,FP,0.3574996670394544,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,4,4,271.0,853.0,70.0,90.0
nms,NMS,0184_0953131511_01_WRI-R2_M017.png,FP,0.21960284374815892,0.10248872782349112,0,no_gt_match_or_lower_confidence_on_same_gt,NMS3,7,7,212.0,461.0,91.0,90.0
nms,NMS,0184_0953131511_01_WRI-R2_M017.png,FP,0.02452984057265121,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,5,5,208.0,346.0,92.0,90.0
nms,NMS,0184_0953131511_01_WRI-R2_M017.png,FP,0.00834976554878145,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,1,"1,3",223.0,405.0,80.0,90.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,FP,0.8156391512932515,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS1,1,1,114.0,325.0,112.0,90.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,TP,0.6749577737992951,0.7173319207908014,0,matched_gt_highest_confidence,NMS2,2,2,108.0,449.0,145.0,102.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,FP,0.6625458489903674,0.2484497794728554,0,no_gt_match_or_lower_confidence_on_same_gt,NMS3,10,10,149.0,489.0,91.0,90.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,FP,0.16945580729816576,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,11,11,143.0,250.0,91.0,90.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,FP,0.06257499965248721,0.010795058959113849,0,no_gt_match_or_lower_confidence_on_same_gt,NMS5,8,8,253.0,385.0,5.0,90.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,FP,0.04332592761166764,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,4,4,160.0,585.0,83.0,90.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,FP,0.03254893299022592,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS7,6,"6,5",191.0,692.0,91.0,90.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,FP,0.019476546392734943,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS8,3,"3,9",171.0,275.0,106.0,90.0
nms,NMS,0201_0583807806_04_WRI-L2_M011.png,FP,0.017356259273848106,0.08948023361776405,0,no_gt_match_or_lower_confidence_on_same_gt,NMS9,7,7,131.0,366.0,91.0,90.0
nms,NMS,0203_1114068044_01_WRI-L1_M011.png,FP,0.7967103823382858,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS1,6,6,209.0,560.0,106.0,90.0
nms,NMS,0203_1114068044_01_WRI-L1_M011.png,FP,0.7912676844057447,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,24,24,197.0,603.0,91.0,90.0
nms,NMS,0203_1114068044_01_WRI-L1_M011.png,FP,0.7770810063249849,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,10,10,208.0,670.0,78.0,90.0
nms,NMS,0203_1114068044_01_WRI-L1_M011.png,FP,0.6994819931372038,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,17,17,108.0,340.0,27.0,90.0
nms,NMS,0203_1114068044_01_WRI-L1_M011.png,TP,0.6800808819733436,0.7062641090757046,0,matched_gt_highest_confidence,NMS5,3,3,349.0,616.0,141.0,98.0
nms,NMS,0203_1114068044_01_WRI-L1_M011.png,FP,0.558673504059106,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,14,14,188.0,875.0,142.0,100.0
nms,NMS,0203_1114068044_01_WRI-L1_M011.png,FP,0.5073240272923923,0.006600055531343372,0,no_gt_match_or_lower_confidence_on_same_gt,NMS7,7,7,419.0,697.0,165.0,116.0
